average,network
0.5666088345452799,"[[[[0.2636057959300053, 0.12387214003952846, -0.02896785936849607, -0.1781483359509128], [0.7294795183739982, -0.40970375185235386, -0.6338300994588651, 0.35401474945678924], [0.15491081242755175, 0.5201429299472177, -1.0717399850627287, -0.5344201708409786], [0.33070152488740645, -0.24836468317949226, -0.19082814174356522, -0.47386889181768005]], [[1.0035457399969734, 1.3552923226824551, 1.5007519770107132, -1.461412016336042], [0.4533593415779358, -0.05643470684376737, -0.18009206710214684, -0.10479232596889215], [-0.9169755679741951, -0.2664077237164407, 1.0859592957124973, 0.38873543360453494], [-0.7765617821437406, 0.19202324780209573, 0.050073091192583824, 0.6757987202440565]]], [[-0.0924744066551369, 1.0023637319935659, 0.6297405346733522, 0.12503479146964924], [0.11873920641022356, -0.43037013090027826, 1.2385360097199585, 1.238434327483223]]]"
0.5810823015518227,"[[[[0.2624743357609786, 0.123233697219865, -0.030661428284656345, -0.17924883303147113], [0.7286582700859129, -0.41085236064696345, -0.6343744079926162, 0.3533477185327923], [0.15426861846151133, 0.5194571294118914, -1.0715761216863424, -0.5341242387235784], [0.329881013217535, -0.2493457986763765, -0.1914095966360062, -0.4738893796465674]], [[1.0020365991210476, 1.3551367550340696, 1.5005684895906277, -1.4621227849331762], [0.45212948107606293, -0.05637428972653785, -0.1813296725953445, -0.10541019808093555], [-0.9164651812715654, -0.26768477297884147, 1.0872438389283416, 0.38833673385057516], [-0.7771808191231571, 0.19180523779473874, 0.047658440564349, 0.6749835232809975]]], [[-0.09366033417891725, 1.0011706959308535, 0.6304946209151105, 0.12483127161314479], [0.11830711005724606, -0.4317668877632497, 1.2380489412883036, 1.237606030275562]]]"
0.583617203321475,"[[[[0.2617981478739509, 0.12237288232622552, -0.03160273395736946, -0.18071623990640848], [0.728076202716183, -0.4109955208645552, -0.6350576804569235, 0.35315641602435843], [0.15401863796962867, 0.5193926716700948, -1.071686934965694, -0.5343908758629748], [0.3298786206526735, -0.24980587132901202, -0.19137382817759704, -0.4743046440418129]], [[1.001902733222111, 1.3547499795182, 1.5001382187770687, -1.4623285396819334], [0.45175187636061276, -0.05664703793112588, -0.18168949445945864, -0.10567072791974569], [-0.9168403896919843, -0.26835550271683883, 1.0870618978194229, 0.3881894609607882], [-0.7774385748407886, 0.19165264686716962, 0.047058241153919295, 0.6746317440457573]]], [[-0.09418261672135132, 1.000830889260267, 0.6301496044930185, 0.12432890909810115], [0.1179594764212305, -0.43188839301786447, 1.2376397126977272, 1.2375371021837884]]]"
0.6115346414218752,"[[[[0.25163550049931, 0.11129381088946107, -0.041745165493934214, -0.1993708118848917], [0.72432341609343, -0.4155852639565444, -0.6350758210481918, 0.35524507487586904], [0.14973853012445335, 0.5151769505560098, -1.0729744901107996, -0.530272520046733], [0.31800654817383717, -0.26238128770294805, -0.19824314231979284, -0.4781697536560809]], [[0.9977376209491544, 1.3446776863507925, 1.5052838148540197, -1.4646999248461146], [0.4544587018401474, -0.05974762216639237, -0.18141246173613237, -0.10361850331607007], [-0.9117577615332799, -0.2729727265665253, 1.0823804442703844, 0.3860958115318483], [-0.7833917841242258, 0.1809936784644177, 0.03488859374697379, 0.6770987538621688]]], [[-0.09435569616746967, 0.9985361042322547, 0.6264792115557142, 0.12245464625958603], [0.112804565408296, -0.4372264234340636, 1.2363608426428605, 1.2326015891398516]]]"
0.6182082402001218,"[[[[0.25159625708359395, 0.11104130457377787, -0.041936955313793975, -0.19979438026914714], [0.7238316347914509, -0.4157166631862128, -0.6353660782590961, 0.355136839950626], [0.1495895453903474, 0.5150304698545843, -1.0731095008125606, -0.5302700190930858], [0.31764718013123144, -0.2621605916816401, -0.19825294487460837, -0.47795566175409676]], [[0.9976555654953831, 1.3445311413677605, 1.5051496309293844, -1.4647299014401363], [0.4543729944365691, -0.059612285631508215, -0.18145974164331155, -0.10344614782248136], [-0.911753431654783, -0.2727790742634664, 1.082476397804111, 0.38616662954254805], [-0.7832081426548811, 0.18082645567298855, 0.03502433102858045, 0.6769451945568815]]], [[-0.09408566796327787, 0.9982254690767743, 0.6266467346424955, 0.12235025488724224], [0.11289733943246882, -0.4370574941945303, 1.236388845462148, 1.2326003292084151]]]"
0.6289384720389889,"[[[[0.24885815233704386, 0.11474687811168567, -0.04227729142985738, -0.1977267831479541], [0.7247884673033528, -0.4154117910484944, -0.6353767983389785, 0.3571908121702016], [0.15050258486712884, 0.5204733397772753, -1.071249252740758, -0.5233191630540877], [0.31967853399346247, -0.26186992277560983, -0.19632179183535234, -0.47741679784711794]], [[0.9975187710630833, 1.3444103744032243, 1.5061961982239, -1.4644733298373838], [0.4563462150519957, -0.05812123334333448, -0.18212003470236662, -0.10148321988165347], [-0.9111049892013381, -0.26929541176787447, 1.0835624001340052, 0.3899516901981844], [-0.7829978674659195, 0.18654327474829177, 0.03799068410216793, 0.6769448566718391]]], [[-0.09226396790057827, 0.9989249796200009, 0.6283598407049518, 0.1241550684063274], [0.11640128869781659, -0.43666031301355784, 1.239112312260051, 1.2340923221126034]]]"
0.6424335370488594,"[[[[0.22871390141972187, 0.11863334569993185, -0.04212610413500316, -0.20338442785180266], [0.7401539891752912, -0.40928357271209287, -0.6740345342791128, 0.3599389168926937], [0.12987876333377688, 0.5361237157737319, -1.0838517340003078, -0.5101896875141446], [0.3046699298676977, -0.24580547863922217, -0.19563010257058772, -0.45798786047328544]], [[1.0071706487184566, 1.3227542500234695, 1.5175866365698711, -1.4605231512155674], [0.4444225236264363, -0.09712848048191944, -0.18249753901601665, -0.09283708571001963], [-0.9490304410095853, -0.27711503648984015, 1.0688454695863836, 0.3708989660838493], [-0.767671710998614, 0.17469170355950459, 0.026199359700869666, 0.6896447850904672]]], [[-0.08791859186414312, 0.9977427258317053, 0.6052266295862735, 0.10880993900070225], [0.12583479808350978, -0.4525280651038486, 1.2303648355044199, 1.220324035198071]]]"
0.6445774398517902,"[[[[0.22902680641086098, 0.13056331908500987, -0.04632465983307914, -0.20589125490770066], [0.7394725261417944, -0.41261859580258486, -0.6715149079550382, 0.3641926944319122], [0.14551590429125225, 0.538678115656587, -1.0836381057448297, -0.5051250669097188], [0.30060383749985864, -0.2427837857660448, -0.20598154295770116, -0.4532236537798018]], [[1.0083735352661156, 1.3225289136321636, 1.522052840938102, -1.4559745825602146], [0.4535265738133656, -0.09994613857491816, -0.1725190823, -0.08968905267490909], [-0.9453823223729998, -0.2729289358854592, 1.0745720126358678, 0.3753441900636837], [-0.7681864074178065, 0.17839153278242226, 0.03560821952679877, 0.6964574772882756]]], [[-0.07908127559405688, 0.991440171487629, 0.6150766727008001, 0.10697246910694444], [0.12956868657464207, -0.45689144522902836, 1.2365986449150865, 1.220113891914341]]]"
0.6628676115600902,"[[[[0.2282954002515818, 0.12998975670575436, -0.04622376935852357, -0.2090110827998258], [0.738843268444896, -0.415133910628888, -0.6706350019195437, 0.36464693738538806], [0.14464328029381968, 0.5396640573675187, -1.084810260168845, -0.502376679890381], [0.2993731362462485, -0.24371836025438295, -0.2081757453966732, -0.45159967698028125]], [[1.0083480261044686, 1.321214028001585, 1.521516026043171, -1.4572516599094818], [0.4535455869312033, -0.0981195041039141, -0.1705560832812397, -0.08862545116901521], [-0.945307885661979, -0.27381843546368423, 1.0733758163280591, 0.37501385092571476], [-0.7687805068626289, 0.1768449099143722, 0.035243823769674235, 0.6951497288014391]]], [[-0.07940924144722947, 0.9911211446464439, 0.6153581815834841, 0.10744409890926675], [0.13097619854500595, -0.4585166712207395, 1.2356046988887672, 1.2204432891058257]]]"
0.6935538344689081,"[[[[0.2397379214038078, 0.1396165267083446, -0.052497518347338075, -0.22337469362927523], [0.7421381192739397, -0.4162427685224651, -0.669162075376422, 0.36541862887819787], [0.14771335494571253, 0.5560273647261068, -1.073751057126909, -0.49970605885107255], [0.306501855574336, -0.23953343600595878, -0.19709166812997939, -0.45356262039489126]], [[1.0056289699556795, 1.3239603057144824, 1.5267577666554657, -1.4583080003214872], [0.4697305226653311, -0.10408262455988614, -0.16414745988422022, -0.07946377383032355], [-0.9327853365849222, -0.2653072526568832, 1.083964796912658, 0.3747827273194946], [-0.7671752726624964, 0.18123371971095334, 0.0454996609802686, 0.7073401345784803]]], [[-0.08343254002848544, 1.0011579515664875, 0.6107735378322474, 0.12066734467775378], [0.1392013696026522, -0.4471101772191756, 1.2255193908537647, 1.2370437265630305]]]"
